"Gene","Analysis.ID","Relatedness","adjusted_expression"
"Vasp","F1Mm_Rep1","0",10.3179807334244
"Vasp","F1Mm_Rep2","0",11.5084606768413
"Vasp","F1Mm_Rep3","0",11.4347059950117
"Vasp","F1Mm_Rep4","0",11.0607029507834
"Vasp","F1Mm_Rep5","0",11.2670766269643
"Vasp","F1Mm_Rep6","0",9.69193066756805
"Vasp","F1Mm_Rep7","0",9.54063904434395
"Vasp","F1Mm_Rep8","0",11.1806920820283
"Vasp","F2Fc_Rep1","50",11.9750272963603
"Vasp","F2Fc_Rep2","50",10.8088260845136
"Vasp","F2Fc_Rep3","50",9.15000393691389
"Vasp","F2Fc_Rep4","50",10.002510377019
"Vasp","F2Fc_Rep5","50",9.61380916126394
"Vasp","F2Fc_Rep7","50",9.24078289916635
"Vasp","F2Fc_Rep8","50",10.1077809239677
"Vasp","F2Fm_Rep1","50",10.605700153582
"Vasp","F2Fm_Rep2","50",11.2034057194472
"Vasp","F2Fm_Rep3","50",8.56912490752034
"Vasp","F2Fm_Rep4","50",9.29097439401797
"Vasp","F2Fm_Rep5","50",9.71411727376154
"Vasp","F2Fm_Rep6","50",9.65568481892424
"Vasp","F2Fm_Rep7","50",7.69158547636475
"Vasp","F2Fm_Rep8","50",6.09659941856299
"Vasp","F2Mc_Rep1","50",8.35135619854282
"Vasp","F2Mc_Rep2","50",8.6068712381685
"Vasp","F2Mc_Rep3","50",6.91515433030796
"Vasp","F2Mc_Rep4","50",6.75762531369011
"Vasp","F2Mc_Rep5","50",8.22600026121931
"Vasp","F2Mc_Rep6","50",7.58778462423556
"Vasp","F2Mc_Rep7","50",9.47007435438623
"Vasp","F2Mc_Rep8","50",10.0538990657476
"Vasp","F2Mm_Rep1","50",9.55423927125715
"Vasp","F2Mm_Rep2","50",9.94053072675435
"Vasp","F2Mm_Rep4","50",8.62279109381176
"Vasp","F2Mm_Rep5","50",9.76761326225715
"Vasp","F2Mm_Rep6","50",7.55802572865866
